head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
break,also see,chip,What is the relationship between 'break' and 'chip'?,1. break [hyponym] chip; 2. break [also see] chip; 3. break [verb group] chip; 4. break [similar to] chip.,"['hyponym', 'also see', 'verb group', 'similar to']",also see,"['In a knowledge graph based on common sense, the relationship between \'break\' and \'chip\' can be defined as ""Break causes Chip"" or ""Chipping can happen as a result of Breaking"". For instance, if you break a brittle object, it can result in chipping off small pieces from the object. Therefore, the relationship between \'break\' and \'chip\' is generally that breaking something can lead to chipping. \n\nTrue. Reason: Breaking can lead to chipping off small pieces.', ""This question is ambiguous as 'break' and 'chip' can have multiple relationships depending on the context. 'Break' can be a synonym for 'chip' in certain contexts like 'break a chip', where 'break' implies splitting or dividing the chip into smaller pieces. However, in general, 'break' and 'chip' do not have a direct relationship in a knowledge graph based on common sense. \n\nTrue. Reason: 'Break' and 'chip' do not have a direct relationship in a knowledge graph based on common sense."", ""This question is ambiguous as 'break' and 'chip' can have multiple relationships based on context. Please provide more specific details or contexts to determine the relationship between these entities."", ""This question lacks context, as 'break' and 'chip' can have multiple relationships depending on the context in which they are used. Without more information, it is not possible to determine the relationship between 'break' and 'chip'.""]","['not found', 'not found', 'not found', 'not found']","['hyponym', 'verb group']"
nutrition,derivationally related form,nutritional,What is the relationship between 'nutrition' and 'nutritional'?,1. Nutrition [derivationally related form] Nutritional; 2. Nutrition [similar to] Nutritional; 3. Nutrition [also see] Nutritional,"['derivationally related form', 'similar to', 'also see']",derivationally related form,"[""True. Reason: The relationship between 'nutrition' and 'nutritional' is that 'nutritional' is an adjective form of 'nutrition', typically used to describe something related to nutrition."", ""False. Reason: 'Nutrition' and 'nutritional' are closely related terms and concepts, but they are not directly related in terms of a specific relationship within a knowledge graph. 'Nutrition' refers to the process of providing or obtaining the food necessary for health and growth, while 'nutritional' is an adjective used to describe something related to nutrition, such as nutritional value or nutritional content."", ""False. Reason: 'Nutritional' is an adjective describing a quality related to nutrition. It is not a relationship between two entities in a knowledge graph.""]","['true', 'false', 'false']","['derivationally related form', 'similar to']"
reception,derivationally related form,receptionist,What is the relationship between 'reception' and 'receptionist'?,"1. Reception [hypernym] Receptionist; 
2. Reception [hyponym] Receptionist; 
3. Reception [instance hyponym] Receptionist;","['hypernym', 'hyponym', 'instance hyponym']",derivationally related form,"[""False. Reason: A receptionist is a person who works at a reception, but 'reception' itself does not have a direct relationship with 'receptionist' in terms of a typical knowledge graph."", ""False. Reason: The relationship between 'reception' and 'receptionist' is not a direct relationship in a knowledge graph based on common sense. 'Reception' typically refers to the area where guests or clients are received, while 'receptionist' refers to a person who works at the reception area to greet and assist visitors."", 'False. Reason: A receptionist is a person who works at a reception desk, providing assistance to visitors or customers. While ""reception"" can refer to the area where a receptionist works, the term ""receptionist"" does not describe a relationship between the two entities in a knowledge graph.']","['false', 'false', 'false']","['hyponym', 'has part', 'similar to', 'member meronym', 'also see']"
gastropoda,member meronym,pulmonata,What is the relationship between 'gastropoda' and 'pulmonata'?,"1. Gastropoda [hypernym] Pulmonata; 
2. Gastropoda [instance hypernym] Pulmonata; 
3. Gastropoda [also see] Pulmonata; 
4. Gastropoda [member of domain topic] Pulmonata; 
5. Gastropoda [similar to] Pulmonata;","['hypernym', 'instance hypernym', 'also see', 'member of domain topic', 'similar to']",member meronym,"['False. Reason: Gastropoda and Pulmonata are both classifications of snails and slugs in the taxonomic hierarchy of Mollusca. While Pulmonata is a subclass of Gastropoda, they are not directly related in terms of a relationship such as parent-child or sibling relationships.', ""I'm not certain about this relationship, could you please provide me with more context?"", 'This question pertains to biological taxonomy. \n\nTrue. Reason: Gastropoda and Pulmonata are both classes within the phylum Mollusca. Pulmonata is a subclass of Gastropoda, which includes land snails and slugs that have a lung instead of gills.', 'False. Reason: Gastropoda and Pulmonata are both classes of mollusks. Pulmonata is a subclass of Gastropoda, not a relationship between two separate entities.', ""True. Reason: 'Pulmonata' is a subclass of 'gastropoda' in the taxonomical classification of mollusks.""]","['false', 'not found', 'not found', 'false', 'true']","['hyponym', 'instance hyponym', 'hypernym', 'synset domain topic of']"
temperature,hypernym,physical_property,What is the relationship between 'temperature' and 'physical_property'?,"1. Temperature [is a] physical property;
2. Temperature [is related to] physical property; 
3. Temperature [is a type of] physical property.","['is a', 'is related to', 'is a type of']",hypernym,"[""False. Reason: 'Temperature' and 'physical_property' do not have a direct relationship. Temperature is a measure of the average kinetic energy of particles in a substance, while physical properties refer to the characteristics of a substance such as color, density, solubility, etc. Temperature can influence physical properties, but they are not directly related as a subject and object in a relationship."", ""False. Reason: 'Temperature' and 'physical_property' do not have a direct relationship in a knowledge graph. 'Temperature' is a measure of the intensity of heat present in a substance, while 'physical_property' refers to characteristics of a substance such as color, density, and hardness. The relationship between 'temperature' and 'physical_property' would typically involve how temperature influences or affects various physical properties of substances rather than a direct relationship between the two entities."", 'False. Reason: Temperature is not a direct relationship to physical_property in a knowledge graph. While temperature can affect various physical properties such as density, conductivity, and state of matter, it does not directly represent a specific relationship in a knowledge graph.']","['false', 'false', 'false']","['hyponym', 'also see', 'similar to', 'synset domain usage of']"
mihrab,synset domain topic of,islam,What is the relationship between 'mihrab' and 'islam'?,"1. Mihrab [has part] Islam; 
2. Mihrab [is used in] Islam;","['has part', 'is used in']",synset domain topic of,"['This question is based on knowledge rather than common sense, since it requires specific knowledge about the entities mentioned. Would you like to ask something else that can be verified by common sense?', 'This is a general knowledge question. \n\nTrue. Reason: A mihrab is a niche in the wall of a mosque that indicates the direction of the Kaaba in Mecca, towards which Muslims pray. Therefore, the relationship between a mihrab and Islam is that a mihrab is a significant architectural feature in Islamic mosques, representing the direction of prayer for Muslims.']","['not found', 'not found']","['instance of', 'has part', 'part of']"
tadarida,hypernym,mammal_genus,What is the relationship between 'tadarida' and 'mammal_genus'?,1. Tadarida [hypernym] Mammal_genus; 2. Tadarida [hyponym] Mammal_genus; 3. Tadarida [instance hypernym] Mammal_genus; 4. Tadarida [instance hyponym] Mammal_genus; 5. Tadarida [also see] Mammal_genus;,"['hypernym', 'hyponym', 'instance hypernym', 'instance hyponym', 'also see']",hypernym,"[""This relationship is True. Reason: Tadarida is a genus of bats, and a mammal genus is a higher taxonomic rank that includes genera of mammals. Therefore, 'tadarida' is a specific type of genus within the broader category of 'mammal genus'."", 'False. Reason: Tadarida is a genus of bats, not a genus of mammals in general.', 'False. Reason: Tadarida is a genus of bats, so the correct relationship should be ""tadarida is_a mammal_genus"" instead of ""tadarida mammal_genus"".', ""This question does not provide enough information to determine the relationship between 'tadarida' and 'mammal_genus' based on common sense. Can you please provide more context or details?"", 'True. Reason: Tadarida is a genus of bats, and a mammal genus is a taxonomic rank that groups together similar genera of mammals. Therefore, tadarida belongs to the category of mammal genus.']","['not found', 'false', 'false', 'not found', 'true']","['hypernym', 'hyponym']"
authorship,hypernym,initiation,What is the relationship between 'authorship' and 'initiation'?,"1. Authorship [similar to] Initiation; 
2. Authorship [also see] Initiation; 
3. Authorship [verb group] Initiation.","['similar to', 'also see', 'verb group']",hypernym,"['False. Reason: There is no direct relationship between ""authorship"" and ""initiation"" in a typical knowledge graph based on common sense. ""Authorship"" refers to the act of writing or creating something, such as a book or a piece of content, while ""initiation"" typically refers to the action of starting or commencing something. These two concepts do not have a direct relationship with each other in terms of a standard association in a knowledge graph.', 'False. Reason: The concept of authorship is related to creating or producing written work such as books, articles, or other literary materials. On the other hand, initiation is commonly associated with starting or beginning something, such as a process, a ritual, or a journey. There is no direct inherent relationship between authorship and initiation in a knowledge graph based on common sense.', ""False. Reason: 'Authorship' and 'initiation' do not have a direct relationship in a knowledge graph based on common sense. 'Authorship' typically refers to the act of writing or creating a piece of work, while 'initiation' usually refers to the beginning or starting point of something. These two concepts are not directly related to each other in a typical context.""]","['false', 'false', 'false']","['hypernym', 'similar to', 'also see', 'verb group', 'synset domain topic of']"
ciconiiformes,member meronym,ardeidae,What is the relationship between 'ciconiiformes' and 'ardeidae'?,"1. Ciconiiformes [hypernym] Ardeidae; 
2. Ciconiiformes [instance hyponym] Ardeidae; 
3. Ciconiiformes [also see] Ardeidae.","['hypernym', 'instance hyponym', 'also see']",member meronym,"[""I'm sorry, but I need more context to provide an accurate response. Would you be able to provide more information about the entities 'ciconiiformes' and 'ardeidae' in the context of a knowledge graph or a specific domain?"", ""I'm sorry, but I need more context or information to provide an accurate answer. Can you please provide more details or rephrase your question?"", 'This triple refers to the relationship between the bird order ""Ciconiiformes"" and the bird family ""Ardeidae"". \n\nTrue. Reason: Ciconiiformes is an obsolete bird order that used to include families like Ardeidae (herons). Ardeidae was once considered part of the order Ciconiiformes, which was later reclassified into the order Pelecaniformes. Therefore, there is a historical relationship between Ciconiiformes and Ardeidae.']","['not found', 'not found', 'not found']","['hypernym', 'hyponym', 'instance hypernym', 'instance hyponym']"
piciform_bird,hypernym,bird,What is the relationship between 'piciform_bird' and 'bird'?,"1. piciform_bird [hypernym] bird; 
2. piciform_bird [instance hyponym] bird.","['hypernym', 'instance hyponym']",hypernym,"[""This question could be a bit tricky. In this case, it is important to note that 'piciform birds' are a specific group of birds that belong to the order Piciformes. So, the correct relationship between 'piciform_bird' and 'bird' would be:\n\nTrue. Reason: 'piciform_bird' is a type of 'bird' as 'piciform birds' are a specific subgroup of birds."", ""False. Reason: 'piciform_bird' is a specific type of bird, so the relationship between 'piciform_bird' and 'bird' would be that 'piciform_bird' is a subclass of 'bird'.""]","['not found', 'false']","['hypernym', 'instance hyponym', 'hyponym']"
