head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
break,also see,chip,What is the relationship between 'break' and 'chip'?,'break' [hypernym] 'chip',['hypernym'],also see,"[""This question is vague as it does not specify the context or domain of the relationship between 'break' and 'chip'. In general, based on common sense:\n\nFalse. Reason: In general, 'break' and 'chip' do not have a direct relationship. While 'break' implies a more significant form of damage or separation, 'chip' typically refers to a small piece that has been removed from an object's surface. These two actions are not directly related in a simple cause-and-effect manner.""]",['not found'],['hyponym']
nutrition,derivationally related form,nutritional,What is the relationship between 'nutrition' and 'nutritional'?,'nutrition' [derivationally related form] 'nutritional',['derivationally related form'],derivationally related form,"[""False. Reason: The relationship between 'nutrition' and 'nutritional' is not a direct relationship in a knowledge graph. 'Nutrition' and 'nutritional' are related concepts, where 'nutrition' refers to the process of obtaining the necessary food to provide health and growth, while 'nutritional' refers to the quality and composition of food and its effect on health. However, they are not directly linked in a relationship in a traditional knowledge graph structure.""]",['false'],['derivationally related form']
reception,derivationally related form,receptionist,What is the relationship between 'reception' and 'receptionist'?,'reception' [has part] 'receptionist',['has part'],derivationally related form,"['True. Reason: A receptionist typically works at a reception area, such as a front desk of an office or hotel, where they perform tasks related to receiving and greeting visitors or clients. So, there is a clear relationship between ""reception"" and ""receptionist"" where the receptionist typically operates within the reception area.']",['true'],['has part']
gastropoda,member meronym,pulmonata,What is the relationship between 'gastropoda' and 'pulmonata'?,'gastropoda' [hypernym] 'pulmonata',['hypernym'],member meronym,['True. Reason: Gastropoda is a class of mollusks that includes the subgroup Pulmonata. Pulmonata is a subclass of gastropods characterized by having a lung-like structure for breathing.'],['true'],['member meronym']
temperature,hypernym,physical_property,What is the relationship between 'temperature' and 'physical_property'?,'temperature' [instance hypernym] 'physical_property',['instance hypernym'],hypernym,"[""This question is vague and the relationship between 'temperature' and 'physical_property' is not clear-cut. 'Temperature' is a physical quantity that can be considered a physical property itself, but it can also affect other physical properties such as density, viscosity, or conductivity. Therefore, the relationship between 'temperature' and 'physical_property' can be complex and context-dependent. \n\nIf we consider 'temperature' as one of the physical properties affecting other physical properties, then we can say: \nTrue. Reason: 'Temperature' can affect various physical properties like density, viscosity, and conductivity of materials.""]",['not found'],['hypernym']
mihrab,synset domain topic of,islam,What is the relationship between 'mihrab' and 'islam'?,'mihrab' [instance hyponym] 'islam',['instance hyponym'],synset domain topic of,['This is a True question. '],['not found'],['instance hyponym']
tadarida,hypernym,mammal_genus,What is the relationship between 'tadarida' and 'mammal_genus'?,'tadarida' [hyponym] 'mammal_genus',['hyponym'],hypernym,"[""False. Reason: Tadarida is a genus of bats, not a genus of mammals in general. While bats are mammals, 'mammal_genus' typically refers to higher-level groupings of mammals beyond the level of genus.""]",['false'],['hypernym']
authorship,hypernym,initiation,What is the relationship between 'authorship' and 'initiation'?,'authorship' [hyponym] 'initiation',['hyponym'],hypernym,"['False. Reason: Authorship and initiation are not directly related concepts. Authorship typically refers to the act of being an author or writer of a piece of work, such as a book or an article. On the other hand, initiation usually refers to the action of starting or commencing something, such as a process or a ritual. These two concepts are not inherently connected in a knowledge graph based on common sense.']",['false'],['has part']
ciconiiformes,member meronym,ardeidae,What is the relationship between 'ciconiiformes' and 'ardeidae'?,'ciconiiformes' [hypernym] 'ardeidae',['hypernym'],member meronym,"[""I cannot provide the correct answer as I don't have access to the knowledge graph at the moment.""]",['not found'],['hypernym']
piciform_bird,hypernym,bird,What is the relationship between 'piciform_bird' and 'bird'?,'piciform_bird' [hyponym] 'bird',['hyponym'],hypernym,"[""This question seems to be ambiguous, as 'piciform_bird' can refer to a specific group of birds belonging to the order Piciformes, which includes woodpeckers, toucans, barbets, and honeyguides, among others. Therefore, the relationship between 'piciform_bird' and 'bird' would be as follows: \n\nTrue. Reason: Piciform birds are a subset of the broader category of birds.""]",['not found'],['hyponym']
moraceae,member meronym,morus,What is the relationship between 'moraceae' and 'morus'?,'moraceae' [member of domain topic] 'morus',['member of domain topic'],member meronym,"['False. Reason: Moraceae is a family of flowering plants that includes the genus Morus, which consists of various species of mulberry plants. While Morus belongs to the Moraceae family, it is more specific to say that Morus is a genus within the Moraceae family, rather than stating a direct relationship between Moraceae and Morus.']",['false'],['member of domain topic']
lard,derivationally related form,lard,What is the relationship between 'lard' and 'lard'?,'lard' [synset domain topic of] 'lard',['synset domain topic of'],derivationally related form,"[""True. Reason: In a knowledge graph, it is possible for an entity to have a reflexive relationship with itself. In this case, the relationship between 'lard' and 'lard' would be true based on the reflexive nature of relationships in knowledge graphs.""]",['true'],['synset domain usage of']
number,derivationally related form,numeral,What is the relationship between 'number' and 'numeral'?,'number' [hypernym] 'numeral',['hypernym'],derivationally related form,"[""The relationship between 'number' and 'numeral' is True. Reason: In a knowledge graph, 'numeral' is a linguistic representation of a 'number'. 'Number' refers to the concept of a mathematical quantity, while 'numeral' represents the symbols or words used to denote numbers. Therefore, there is a direct relationship between 'number' and 'numeral' in the context of mathematics and linguistics.""]",['not found'],['hypernym']
skimmer,hypernym,cooking_utensil,What is the relationship between 'skimmer' and 'cooking_utensil'?,'skimmer' [hypernym] 'cooking_utensil',['hypernym'],hypernym,"['False. Reason: A skimmer is a type of kitchen utensil used for skimming liquids or removing solids from the surface of a liquid, so a skimmer is a specific type of utensil rather than a separate entity.']",['false'],['hypernym']
dominate,hypernym,control,What is the relationship between 'dominate' and 'control'?,'dominate' [verb group] 'control',['verb group'],hypernym,"[""True. Reason: In a knowledge graph, 'dominate' and 'control' are often considered synonymous or closely related terms. One entity can dominate another by exerting control over it.""]",['true'],['synset domain region of']
cakile,hypernym,dilleniid_dicot_genus,What is the relationship between 'cakile' and 'dilleniid_dicot_genus'?,'cakile' [hypernym] 'dilleniid_dicot_genus',['hypernym'],hypernym,"[""I cannot provide an answer to this question without further context or information about the entities 'cakile' and 'dilleniid_dicot_genus'.""]",['not found'],['hypernym']
retrench,hypernym,reduce,What is the relationship between 'retrench' and 'reduce'?,'retrench' [synonym] 'reduce',['synonym'],hypernym,"[""True. Reason: In a knowledge graph, 'retrench' and 'reduce' can be considered as synonyms, as they both represent the action of making something smaller in size, amount, or extent.""]",['true'],['synonym']
temperature,hypernym,somesthesia,What is the relationship between 'temperature' and 'somesthesia'?,'temperature' [has part] 'somesthesia',['has part'],hypernym,"[""Based on common sense, the relationship between 'temperature' and 'somesthesia' is True. \n\nReason: Somesthesia refers to the perception of physical sensations such as touch, pressure, temperature, and pain. Temperature is a specific type of physical sensation that is perceived by the somatosensory system. Therefore, there is a direct and meaningful relationship between temperature and somesthesia in the context of sensory perception.""]",['not found'],['has part']
boston,has part,charlestown,What is the relationship between 'boston' and 'charlestown'?,'boston' [has part] 'charlestown',['has part'],has part,"[""I need more information to provide an accurate answer. There could be multiple relationships between 'boston' and 'charlestown' depending on the context.""]",['not found'],['has part']
fort,derivationally related form,fortress,What is the relationship between 'fort' and 'fortress'?,'fort' [synonym] 'fortress',['synonym'],derivationally related form,"['True. Reason: A fort is a smaller fortified building or military post, while a fortress is a larger fortified structure designed for defense. Hence, a fort is a type of fortress, implying a relationship between the two entities in terms of size and purpose.']",['true'],['synset domain usage of']
pouteria,member meronym,marmalade_tree,What is the relationship between 'pouteria' and 'marmalade_tree'?,'pouteria' [hyponym] 'marmalade_tree',['hyponym'],member meronym,"[""I'm sorry, but I do not possess specific knowledge about the relationship between 'pouteria' and 'marmalade_tree'.""]",['not found'],['hypernym']
sensitizer,hypernym,activator,What is the relationship between 'sensitizer' and 'activator'?,'sensitizer' [hypernym] 'activator',['hypernym'],hypernym,"[""False. Reason: In the context of knowledge graphs and common sense, 'sensitizer' and 'activator' do not have a direct relationship. A sensitizer typically refers to a substance that increases the sensitivity or response of a system, whereas an activator generally refers to a substance that initiates or enhances a process or function. While they both may influence the behavior of a system, they serve different purposes and do not necessarily have a direct relationship.""]",['false'],['derivationally related form']
hovel,hypernym,shelter,What is the relationship between 'hovel' and 'shelter'?,'hovel' [hypernym] 'shelter',['hypernym'],hypernym,"['False. Reason: A hovel is typically a small, poorly constructed and uncomfortable dwelling, often associated with poverty or hardship, whereas a shelter is a place that provides protection or refuge, which can range from basic accommodation to more established facilities. While both hovels and shelters may serve as forms of dwelling for people, they differ in terms of quality, purpose, and connotations.']",['false'],['hypernym']
urinary,derivationally related form,urine,What is the relationship between 'urinary' and 'urine'?,'urinary' [has part] 'urine',['has part'],derivationally related form,"['True. Reason: The term ""urinary"" is related to the urinary system, which includes organs such as the kidneys, ureters, bladder, and urethra that are involved in the production and excretion of urine. Therefore, there is a direct relationship between ""urinary"" and ""urine"" in the context of the human body\'s excretory system.']",['true'],['has part']
linear,derivationally related form,add,What is the relationship between 'linear' and 'add'?,'linear' [derivationally related form] 'add',['derivationally related form'],derivationally related form,"[""False. Reason: 'linear' and 'add' are not directly related concepts. 'Linear' typically refers to a straight line or following a consistent progression, while 'add' refers to the action of combining two or more numbers to find their sum.""]",['false'],['derivationally related form']
seat,verb group,sit,What is the relationship between 'seat' and 'sit'?,'seat' [has part] 'sit',['has part'],verb group,"[""True. Reason: The relationship between 'seat' and 'sit' is that a 'seat' is where someone can 'sit'.""]",['true'],['hypernym']
being,derivationally related form,actual,What is the relationship between 'being' and 'actual'?,'being' [hypernym] 'actual',['hypernym'],derivationally related form,"[""This question seems to be abstract and philosophical. In a general sense, one could say that the relationship between 'being' and 'actual' is one of existence or reality. However, in the context of a knowledge graph based on common sense, it is difficult to determine a specific relationship between these two entities as they are abstract concepts. Therefore, it would be more appropriate to say that there is no direct or concrete relationship between 'being' and 'actual' in a knowledge graph. \n\nFalse. Reason: 'Being' and 'actual' are abstract concepts without a direct or concrete relationship in a knowledge graph.""]",['not found'],['hypernym']
lexicology,derivationally related form,lexicographer,What is the relationship between 'lexicology' and 'lexicographer'?,'lexicology' [related to] 'lexicographer',['related to'],derivationally related form,"[""True. Reason: The relationship between 'lexicology' and 'lexicographer' is true. A lexicographer is a person who writes or compiles dictionaries. Lexicology is the branch of linguistics that studies the vocabulary of a language, including its structure, meaning, and use. It is common for lexicographers to use the principles of lexicology in compiling dictionaries.""]",['true'],['instance hyponym']
minnesota,has part,twin_cities,What is the relationship between 'minnesota' and 'twin_cities'?,'minnesota' [has part] 'twin_cities',['has part'],has part,"[""Based on common knowledge, the relationship between 'minnesota' and 'twin_cities' is as follows: 'minnesota' is the state where 'twin_cities' is located. \n\nTrue. Reason: Twin Cities, referring to Minneapolis and St. Paul, are two cities located in the state of Minnesota.""]",['not found'],['has part']
pull,derivationally related form,puller,What is the relationship between 'pull' and 'puller'?,'pull' [derivationally related form] 'puller',['derivationally related form'],derivationally related form,"[""True. Reason: The relationship between 'pull' and 'puller' is that 'puller' is the agent or entity that performs the action of 'pulling'. In other words, a 'puller' is someone or something that exerts force to draw or drag something towards themselves.""]",['true'],['has part']
america,has part,north_america,What is the relationship between 'america' and 'north_america'?,'america' [instance hyponym] 'north_america',['instance hyponym'],has part,"[""True. Reason: 'America' is a country located in the continent of 'North America'.""]",['true'],['instance hyponym']
suspense,hypernym,doubt,What is the relationship between 'suspense' and 'doubt'?,'suspense' [similar to] 'doubt',['similar to'],hypernym,['True. Reason: Suspense and doubt are related concepts in the sense that suspense often involves a feeling of uncertainty or doubt about what will happen next in a story or situation. The presence of doubt can contribute to the feeling of suspense in a narrative or situation.'],['true'],['similar to']
gallop,synset domain topic of,riding,What is the relationship between 'gallop' and 'riding'?,'gallop' [has part] 'riding',['has part'],synset domain topic of,"['False. Reason: The relationship between ""gallop"" and ""riding"" is not direct or explicit in a knowledge graph. While it is true that ""gallop"" is a type of movement or gait commonly associated with horse riding, the relationship between the two entities is more complex and indirect. A more accurate relationship would involve intermediate concepts such as ""horse"" or ""equestrian sports"" to connect ""gallop"" and ""riding"".']",['false'],['verb group']
compound,derivationally related form,combination,What is the relationship between 'compound' and 'combination'?,'compound' [synset domain topic of] 'combination',['synset domain topic of'],derivationally related form,"['This seems like a common sense question, as compounds are substances composed of two or more elements chemically combined in a fixed ratio, while a combination is a mixture of substances that are physically blended but not chemically bonded. \n\nTrue. Reason: Compounds are a type of combination where elements are chemically bonded, so it can be said that compounds are a specific type of combination.']",['not found'],['hypernym']
diagnose,derivationally related form,diagnosis,What is the relationship between 'diagnose' and 'diagnosis'?,'diagnose' [derivationally related form] 'diagnosis',['derivationally related form'],derivationally related form,"[""True. Reason: 'Diagnose' is the action of determining the nature of an illness or problem through examination, whereas 'diagnosis' is the noun form referring to the identification of the nature and cause of an illness or problem. The relationship between 'diagnose' and 'diagnosis' is that 'diagnosis' is the result or outcome of 'diagnose'.""]",['true'],['verb group']
reject,derivationally related form,sneerer,What is the relationship between 'reject' and 'sneerer'?,'reject' [derivationally related form] 'sneerer',['derivationally related form'],derivationally related form,"['False. Reason: There is no direct or common-sense relationship between the action of rejecting and the concept of a sneerer. The act of rejecting implies refusing or not accepting something, while a sneerer is someone who mocks or expresses contempt. These two entities do not have a direct relationship based on their definitions.']",['false'],['also see']
cecum,hypernym,cavity,What is the relationship between 'cecum' and 'cavity'?,'cecum' [part of] 'cavity',['part of'],hypernym,"['False. Reason: The cecum is a pouch connected to the junction of the small and large intestines in the digestive system, and it is not directly related to the concept of a ""cavity,"" which typically refers to a hollow space within a structure or tissue.']",['false'],['part of']
cyperus,hypernym,cyperaceae,What is the relationship between 'cyperus' and 'cyperaceae'?,'cyperus' [member of domain topic] 'cyperaceae',['member of domain topic'],hypernym,"[""False. Reason: 'Cyperus' is a genus of plants in the family 'Cyperaceae', so the relationship between 'cyperus' and 'cyperaceae' is that 'cyperus' belongs to the family 'cyperaceae'.""]",['false'],['member of domain topic']
pant,hypernym,utter,What is the relationship between 'pant' and 'utter'?,'pant' [verb group] 'utter',['verb group'],hypernym,"['This query seems somewhat ambiguous, as ""pant"" can refer to an item of clothing, while ""utter"" typically means to express something or speak aloud. If we interpret this as a potential relationship between the two concepts in a common sense context, we can say:\n\nFalse. Reason: There is no direct or commonly understood relationship between the concept of ""pant"" (clothing item worn on the lower body) and ""utter"" (to express or articulate something verbally). The two entities belong to completely different domains and do not have a meaningful conceptual connection.']",['not found'],['verb group']
sauropoda,member meronym,titanosauridae,What is the relationship between 'sauropoda' and 'titanosauridae'?,'sauropoda' [hypernym] 'titanosauridae',['hypernym'],member meronym,"[""I'm not entirely sure about the specific relationship between 'sauropoda' and 'titanosauridae'. Let me check that for you.""]",['not found'],['hypernym']
frequent,derivationally related form,patronize,What is the relationship between 'frequent' and 'patronize'?,'frequent' [verb group] 'patronize',['verb group'],derivationally related form,"['False. Reason: In common sense, the word ""frequent"" is typically associated with visiting a place or using a service often, while ""patronize"" usually refers to supporting or being a customer of a business or establishment. The two words are not directly related in terms of a specific relationship between entities.']",['false'],['derivationally related form']
sell,synset domain topic of,commerce,What is the relationship between 'sell' and 'commerce'?,'sell' [hypernym] 'commerce',['hypernym'],synset domain topic of,"[""False. Reason: The relationship between 'sell' and 'commerce' is true. Selling is a common activity within commerce, which involves the buying and selling of goods and services.""]",['false'],['hypernym']
slave,hypernym,person,What is the relationship between 'slave' and 'person'?,'slave' [hypernym] 'person',['hypernym'],hypernym,"['True. Reason: A slave is a person who is owned by another person and is considered as their property, implying a relationship between the two entities.']",['true'],['hyponym']
defacement,derivationally related form,deface,What is the relationship between 'defacement' and 'deface'?,'defacement' [derivationally related form] 'deface',['derivationally related form'],derivationally related form,"[""True. Reason: 'Defacement' is the act of damaging or vandalizing something, while 'deface' is the verb form meaning to spoil the surface or appearance of something. Therefore, there is a semantic relationship between 'defacement' and 'deface'.""]",['true'],['derivationally related form']
grama,hypernym,grass,What is the relationship between 'grama' and 'grass'?,'grama' [hypernym] 'grass',['hypernym'],hypernym,"[""This is a common sense question. \n\nTrue. Reason: 'Grama' is a type of grass commonly found in North and South America.""]",['not found'],['hypernym']
nonresident,hypernym,person,What is the relationship between 'nonresident' and 'person'?,'nonresident' [hypernym] 'person',['hypernym'],hypernym,"[""It is expected that the relationship between 'nonresident' and 'person' would be that a nonresident is a type of person who does not reside in a particular location. \n\nTrue. Reason: A 'nonresident' refers to an individual who does not reside in a particular location permanently or for an extended period of time. Since a nonresident is still a person, the relationship between 'nonresident' and 'person' holds true.""]",['not found'],['hyponym']
item,derivationally related form,enumerate,What is the relationship between 'item' and 'enumerate'?,'item' [verb group] 'enumerate',['verb group'],derivationally related form,"[""False. Reason: In a typical context, 'item' and 'enumerate' do not have a direct relationship. 'Item' usually refers to an individual object or entry in a list, while 'enumerate' is a verb meaning to mention or list items individually. They are not inherently related entities in a knowledge graph.""]",['false'],['hypernym']
